Ensembl_Gene_ID,Gene_name
ENSG00000155875,FAM154A
ENSG00000158748,HTR6
ENSG00000164038,SLC9B2
ENSG00000164825,DEFB1
ENSG00000167705,RILP
ENSG00000169836,TACR3
ENSG00000172005,MAL
ENSG00000173175,ADCY5
ENSG00000173210,ABLIM3
ENSG00000175416,CLTB
ENSG00000175894,TSPEAR
ENSG00000179636,TPPP2
ENSG00000182645,CCDC172
ENSG00000185527,PDE6G
ENSG00000189139,FSCB
ENSG00000204193,TXNDC8
ENSG00000205835,GMNC
ENSG00000214140,PRCD
ENSG00000242866,STRC
