gene_claim_name,gene_concept_id,Gene_name,interaction_source_db_name,interaction_source_db_version,interaction_type,interaction_score,drug_claim_name,drug_concept_id,drug_name,approved,immunotherapy,anti_neoplastic,ATC_Code,ATC_Category
KRAS,hgnc:6407,KRAS,ClearityFoundationBiomarkers,26-Jul-13,,0.042739169,TEMSIROLIMUS,rxcui:657797,TEMSIROLIMUS,True,False,True,L01XE09,Antineoplastic agents
UNIPROT:Q16739,hgnc:12524,UGCG,TdgClinicalTrial,14-Jan,,2.949002695,ELIGLUSTAT,rxcui:1547220,ELIGLUSTAT,True,False,False,,
UNIPROT:P21728,hgnc:3020,DRD1,TdgClinicalTrial,14-Jan,,0.141778976,TRIFLUPROMAZINE,rxcui:10805,TRIFLUPROMAZINE,True,False,False,,
PSMB6,hgnc:9543,PSMB6,DTC,5-Jun-23,,0.462588658,BORTEZOMIB,rxcui:358258,BORTEZOMIB,True,False,True,,
KDM4E,hgnc:37098,KDM4E,DTC,5-Jun-23,,0.001369686,CISPLATIN,rxcui:2555,CISPLATIN,True,False,True,,
IDH1,hgnc:5382,IDH1,DTC,5-Jun-23,,0.008050785,DIGITOXIN,rxcui:3403,DIGITOXIN,True,False,False,,
DRD1,hgnc:3020,DRD1,DTC,5-Jun-23,,0.008592665,IDARUBICIN,rxcui:5650,IDARUBICIN,True,False,True,L01DB06,Anthracyclines and related substances
CYP2B,hgnc:2615,CYP2B6,NCI,14-Sep-17,,0.039111442,GENISTEIN,rxcui:25696,GENISTEIN,True,False,False,,
MITOCHONDRIAL RRNA METHYLTRANSFERASE 2,hgnc:16352,MRM2,TTD,2020.06.01,,29.49002695,Plazomicin,rxcui:2049549,PLAZOMICIN,True,False,False,,
GABRA3,hgnc:4077,GABRA3,ChEMBL,32,positive modulator,0.021844464,PROPOFOL,rxcui:8782,PROPOFOL,True,False,False,N01AX10,General anesthetics
DRD1,hgnc:3020,DRD1,DTC,5-Jun-23,,0.088959357,FENOLDOPAM,rxcui:203151,FENOLDOPAM MESYLATE,True,False,False,,
EHMT2,hgnc:14129,EHMT2,DTC,5-Jun-23,,0.002867564,DOPAMINE,rxcui:3628,DOPAMINE,True,False,False,,
APOBEC3A,hgnc:17343,APOBEC3A,DTC,5-Jun-23,,0.385490548,CEFOTETAN,rxcui:2187,CEFOTETAN,True,False,False,,
CYP3A4,hgnc:2637,CYP3A4,DTC,5-Jun-23,,0.00296867,ACETAMINOPHEN,rxcui:161,ACETAMINOPHEN,True,False,False,,
CYP19A1,hgnc:2594,CYP19A1,NCI,14-Sep-17,,0.11234296,ASCORBIC ACID,rxcui:1151,ASCORBIC ACID,True,False,False,,
TP53,hgnc:11998,TP53,NCI,14-Sep-17,,0.007720744,PACLITAXEL,rxcui:56946,PACLITAXEL,True,False,True,L01CD01,Taxanes
UNIPROT:P48551,hgnc:5433,IFNAR2,TdgClinicalTrial,14-Jan,,1.387765974,INTERFERON BETA-1B,rxcui:72257,INTERFERON BETA-1B,True,True,False,,
UNIPROT:P20309,hgnc:1952,CHRM3,TEND,1-Aug-11,,0.177117279,HOMATROPINE METHYLBROMIDE,rxcui:1546413,METHYLHOMATROPINE,True,False,False,,
UNIPROT:P07550,hgnc:286,ADRB2,TdgClinicalTrial,14-Jan,,0.59575812,RITODRINE,rxcui:9392,RITODRINE,True,False,False,,
EGFR,hgnc:3236,EGFR,PharmGKB,5-Jun-23,,0.23186262,osimertinib,rxcui:1721560,OSIMERTINIB,True,False,True,L01XE35,Antineoplastic agents
TBC1D1,hgnc:11578,TBC1D1,PharmGKB,5-Jun-23,,0.951291192,clozapine,rxcui:2626,CLOZAPINE,True,False,False,,
HTR2C,hgnc:5295,HTR2C,ChEMBL,32,inhibitor,0.050583237,THIORIDAZINE,rxcui:10502,THIORIDAZINE,True,False,False,,
GABRP,hgnc:4089,GABRP,ChEMBL,32,positive modulator,0.046661435,METHYPRYLON,rxcui:6910,METHYPRYLON,True,False,False,,
KCND1,hgnc:6237,KCND1,ChEMBL,32,blocker,0.239756317,GUANIDINE HYDROCHLORIDE,rxcui:50676,GUANIDINE HYDROCHLORIDE,True,False,False,,
BRD3,hgnc:1104,BRD3,DTC,5-Jun-23,,0.317097064,ALPRAZOLAM,rxcui:596,ALPRAZOLAM,True,False,False,,
IRAK1,hgnc:6112,IRAK1,DTC,5-Jun-23,,0.032335556,SORAFENIB,rxcui:495881,SORAFENIB,True,False,True,L01XE05,Antineoplastic agents
SRC,hgnc:11283,SRC,NCI,14-Sep-17,,0.218444644,INTERLEUKIN-11,rxcui:1311380,INTERLEUKIN-11,True,False,False,,
CYP3A4,hgnc:2637,CYP3A4,PharmGKB,5-Jun-23,,0.01669877,ranolazine,rxcui:35829,RANOLAZINE,True,False,False,,
CACNA1I,hgnc:1396,CACNA1I,PharmGKB,5-Jun-23,,0.086417661,celecoxib,rxcui:140587,CELECOXIB,True,False,True,M01AH01,Coxibs
CYP2A6,hgnc:2610,CYP2A6,PharmGKB,5-Jun-23,,0.238303248,acetaminophen,rxcui:161,ACETAMINOPHEN,True,False,False,,
ESR1,hgnc:3467,ESR1,CGI,5-Jun-23,,0.25902527,Fulvestrant,rxcui:282357,FULVESTRANT,True,False,True,,
UNIPROT:P32927,hgnc:2436,CSF2RB,TdgClinicalTrial,14-Jan,,14.74501347,SARGRAMOSTIM,rxcui:69634,SARGRAMOSTIM,True,True,False,,
MT-ND3,hgnc:7458,MT-ND3,ChEMBL,32,inhibitor,0.263303812,METFORMIN HYDROCHLORIDE,rxcui:235743,METFORMIN HYDROCHLORIDE,True,False,True,,
MMP9,hgnc:7176,MMP9,PharmGKB,5-Jun-23,,0.072590836,celecoxib,rxcui:140587,CELECOXIB,True,False,True,M01AH01,Coxibs
GRIN3A,hgnc:16767,GRIN3A,ChEMBL,32,inhibitor,0.162703597,ACAMPROSATE CALCIUM,rxcui:152761,ACAMPROSATE CALCIUM,True,False,False,,
SHMT1,hgnc:10850,SHMT1,PharmGKB,5-Jun-23,,0.819167415,bevacizumab,rxcui:2046138,BEVACIZUMAB-AWWB,True,True,True,,
NTF3,hgnc:8023,NTF3,NCI,14-Sep-17,,0.0872486,GENISTEIN,rxcui:25696,GENISTEIN,True,False,False,,
RPMJ,hgnc:14490,MRPL36,ChEMBL,32,inhibitor,0.433676867,TETRACYCLINE HYDROCHLORIDE,rxcui:142446,TETRACYCLINE HYDROCHLORIDE,True,False,False,,
ERBB4,hgnc:3432,ERBB4,DTC,5-Jun-23,,0.021860657,DASATINIB,rxcui:1546019,DASATINIB ANHYDROUS,True,False,True,,
UNIPROT:Q13621,hgnc:10910,SLC12A1,TdgClinicalTrial,14-Jan,,4.212860993,METHYCLOTHIAZIDE,rxcui:6860,METHYCLOTHIAZIDE,True,False,False,,
PTGS2,hgnc:9605,PTGS2,ChEMBL,32,inhibitor,0.030638989,ASPIRIN,rxcui:1191,ASPIRIN,True,False,True,,
HTR4,hgnc:5299,HTR4,ChEMBL,32,agonist,0.252051512,TEGASEROD MALEATE,rxcui:339270,TEGASEROD MALEATE,True,False,False,,
F2R,hgnc:3537,F2R,ChEMBL,32,inhibitor,2.808573995,VORAPAXAR SULFATE,rxcui:1537050,VORAPAXAR SULFATE,True,False,False,,
LOH19CR1,hgnc:10402,RPS19,NCI,14-Sep-17,,0.162033115,DEXAMETHASONE,rxcui:3264,DEXAMETHASONE,True,False,True,H02AB02,Corticosteroids for systemic use
CALCIUM-ACTIVATED POTASSIUM CHANNEL KCA2.3,hgnc:6292,KCNN3,TTD,2020.06.01,,4.915004491,dequalinium,rxcui:3226,DEQUALINIUM,True,False,False,,
POLI,hgnc:9182,POLI,DTC,5-Jun-23,,0.008653177,MITOXANTRONE DIHYDROCHLORIDE,rxcui:203129,MITOXANTRONE HYDROCHLORIDE,True,False,False,,
BTK,hgnc:1133,BTK,DTC,5-Jun-23,,0.033228199,DASATINIB,rxcui:1546019,DASATINIB ANHYDROUS,True,False,True,,
NDUFA11,hgnc:20371,NDUFA11,ChEMBL,32,inhibitor,0.351071749,METFORMIN HYDROCHLORIDE,rxcui:235743,METFORMIN HYDROCHLORIDE,True,False,True,,
RPMJ,hgnc:14490,MRPL36,ChEMBL,32,inhibitor,0.433676867,DALFOPRISTIN,rxcui:229369,DALFOPRISTIN,True,False,False,,
UNIPROT:P08912,hgnc:1954,CHRM5,TEND,1-Aug-11,,0.393200359,HOMATROPINE METHYLBROMIDE,rxcui:1546413,METHYLHOMATROPINE,True,False,False,,
CYP2C19,hgnc:2621,CYP2C19,DTC,5-Jun-23,,0.010865891,GENTAMICIN,rxcui:1596450,GENTAMICIN,True,False,False,,
AKR1C3,hgnc:386,AKR1C3,PharmGKB,5-Jun-23,,0.081916742,doxorubicin,rxcui:142433,DOXORUBICIN HYDROCHLORIDE,True,False,True,,
CYP2D6,hgnc:2625,CYP2D6,DTC,5-Jun-23,,0.027899742,METARAMINOL,rxcui:6805,METARAMINOL,True,False,False,,
UNIPROT:P21728,hgnc:3020,DRD1,TEND,1-Aug-11,,0.141778976,TRIFLUPROMAZINE,rxcui:10805,TRIFLUPROMAZINE,True,False,False,,
PDGFRB,hgnc:8804,PDGFRB,MyCancerGenome,20-Jun-17,inhibitor,0.332594289,NINTEDANIB,rxcui:1592736,NINTEDANIB ESYLATE,True,False,True,L01XE31,Antineoplastic agents
ATP7A,hgnc:869,ATP7A,NCI,14-Sep-17,,0.526607624,OXALIPLATIN,rxcui:32592,OXALIPLATIN,True,False,True,L01XA03,Platinum-containing antineoplastic agents
UNIPROT:P00915,hgnc:1368,CA1,TdgClinicalTrial,14-Jan,,1.072364616,ACETAZOLAMIDE,rxcui:167,ACETAZOLAMIDE,True,False,False,,
RPMJ,hgnc:14490,MRPL36,ChEMBL,32,inhibitor,0.096372637,OXYTETRACYCLINE HYDROCHLORIDE,rxcui:4780,OXYTETRACYCLINE HYDROCHLORIDE,True,False,False,,
POL,hgnc:39043,ERVW-4,ChEMBL,32,inhibitor,0.075229661,STAVUDINE,rxcui:59763,STAVUDINE,True,False,False,,
UNIPROT:P16422,hgnc:11529,EPCAM,TdgClinicalTrial,14-Jan,,1.769401617,CATUMAXOMAB,ncit:C62445,CATUMAXOMAB,True,False,True,,
ALOX15,hgnc:433,ALOX15,DTC,5-Jun-23,,0.023284664,PSEUDOEPHEDRINE,rxcui:8896,PSEUDOEPHEDRINE,True,False,False,,
SLC19A1,hgnc:10937,SLC19A1,PharmGKB,5-Jun-23,,0.108419217,capecitabine,rxcui:194000,CAPECITABINE,True,False,True,,
DPYD,hgnc:3012,DPYD,CGI,5-Jun-23,,5.361823081,Tegafur,rxcui:4582,TEGAFUR,True,False,True,,
PSMB1,hgnc:9537,PSMB1,ChEMBL,32,inhibitor,0.714044236,CARFILZOMIB,rxcui:1302966,CARFILZOMIB,True,False,True,,
RPSA,hgnc:6502,RPSA,ChEMBL,32,inhibitor,0.131066786,TROLEANDOMYCIN,rxcui:10864,TROLEANDOMYCIN,True,False,False,,
HBA2,hgnc:4824,HBA2,ChEMBL,32,positive modulator,9.830008983,VOXELOTOR,rxcui:2265678,VOXELOTOR,True,False,False,,
UNIPROT:Q02641,hgnc:1401,CACNB1,TdgClinicalTrial,14-Jan,,1.512309074,IBUTILIDE,rxcui:41289,IBUTILIDE,True,False,False,,
FGFR3,hgnc:3690,FGFR3,JAX-CKB,5-Jun-23,,0.007542206,Docetaxel,rxcui:1299922,DOCETAXEL ANHYDROUS,True,False,True,L01CD02,Antineoplastic agents
SMAD3,hgnc:6769,SMAD3,DTC,5-Jun-23,,0.014308601,DIGITOXIN,rxcui:3403,DIGITOXIN,True,False,False,,
LCK,hgnc:6524,LCK,DTC,5-Jun-23,,0.019898804,ENTRECTINIB,rxcui:2197862,ENTRECTINIB,True,False,True,,
RCE1,hgnc:13721,RCE1,DTC,5-Jun-23,,1.404286998,LEVOFLOXACIN,rxcui:1546009,LEVOFLOXACIN ANHYDROUS,True,False,False,,
PSMB2,hgnc:9539,PSMB2,DTC,5-Jun-23,,0.52041224,BORTEZOMIB,rxcui:358258,BORTEZOMIB,True,False,True,,
CYP2C19,hgnc:2621,CYP2C19,DTC,5-Jun-23,,0.003288362,CYCLOSPORINE,rxcui:3008,CYCLOSPORINE,True,True,False,,
CYP2C19,hgnc:2621,CYP2C19,DTC,5-Jun-23,,0.002450152,DIPYRIDAMOLE,rxcui:3521,DIPYRIDAMOLE,True,False,False,B01AC07,Antithrombotic agents
CYP2C19,hgnc:2621,CYP2C19,DTC,5-Jun-23,,0.002450152,DIPYRIDAMOLE,rxcui:3521,DIPYRIDAMOLE,True,False,False,,Platelet Aggregation Inhibitor
SERPINE1,hgnc:8583,SERPINE1,NCI,14-Sep-17,,0.89363718,GLYCYRRHETINIC ACID,rxcui:1311506,GLYCYRRHETINIC ACID,True,False,False,,
SIRT6,hgnc:14934,SIRT6,TALC,12-May-16,inhibitor,2.359202156,PANOBINOSTAT,rxcui:1603350,PANOBINOSTAT,True,False,True,L01XX42,Other antineoplastic agents
PARP1,hgnc:270,PARP1,ClearityFoundationClinicalTrial,15-Jun-13,inhibitor,0.832659584,NIRAPARIB,rxcui:1918231,NIRAPARIB,True,False,True,,
UNIPROT:Q16512,hgnc:9405,PKN1,TdgClinicalTrial,14-Jan,,2.680911541,INGENOL MEBUTATE,rxcui:1242806,INGENOL MEBUTATE,True,False,False,,
UNIPROT:P28335,hgnc:5295,HTR2C,TdgClinicalTrial,14-Jan,,0.171204801,TRAZODONE,rxcui:10737,TRAZODONE,True,False,False,,
AR,hgnc:644,AR,DTC,5-Jun-23,,0.004024843,SPIRONOLACTONE,rxcui:9997,SPIRONOLACTONE,True,False,False,,
UNIPROT:P00918,hgnc:1373,CA2,TEND,1-Aug-11,,0.618671894,ACETAZOLAMIDE,rxcui:167,ACETAZOLAMIDE,True,False,False,,
PLG,hgnc:9071,PLG,DTC,5-Jun-23,,0.032273627,BORTEZOMIB,rxcui:358258,BORTEZOMIB,True,False,True,,
PSMB8,hgnc:9545,PSMB8,MyCancerGenome,20-Jun-17,other/unknown,0.346941494,BORTEZOMIB,rxcui:358258,BORTEZOMIB,True,False,True,,
ABCB1,hgnc:40,ABCB1,PharmGKB,5-Jun-23,,0.021774571,capecitabine,rxcui:194000,CAPECITABINE,True,False,True,,
CA4,hgnc:1375,CA4,ChEMBL,32,inhibitor,0.59575812,ACETAZOLAMIDE,rxcui:167,ACETAZOLAMIDE,True,False,False,,
NDUFV1,hgnc:7716,NDUFV1,ChEMBL,32,inhibitor,0.351071749,METFORMIN HYDROCHLORIDE,rxcui:235743,METFORMIN HYDROCHLORIDE,True,False,True,,
EML4,hgnc:1316,EML4,JAX-CKB,5-Jun-23,,0.085726823,Selumetinib,rxcui:2289380,SELUMETINIB,True,False,True,,
JAK2,hgnc:6192,JAK2,JAX-CKB,5-Jun-23,,0.331348617,C220,rxcui:203203,ALFENTANIL HYDROCHLORIDE,True,False,False,,
TP53,hgnc:11998,TP53,DTC,5-Jun-23,,0.007363303,CLIOQUINOL,rxcui:5942,CLIOQUINOL,True,False,False,,
ABCC4,hgnc:55,ABCC4,PharmGKB,5-Jun-23,,1.966001797,valganciclovir,rxcui:275891,VALGANCICLOVIR,True,False,False,,
HMGB1,hgnc:4983,HMGB1,NCI,14-Sep-17,,0.269931597,PREDNISOLONE,rxcui:8638,PREDNISOLONE,True,False,False,,
ESR2,hgnc:3468,ESR2,ChEMBL,32,inhibitor,0.162479487,FULVESTRANT,rxcui:282357,FULVESTRANT,True,False,True,,
RPSA,hgnc:6502,RPSA,ChEMBL,32,inhibitor,0.046258866,CLARITHROMYCIN,rxcui:21212,CLARITHROMYCIN,True,False,False,,
FGFR2,hgnc:3689,FGFR2,DoCM,5-Jun-23,,0.498207083,PONATINIB,rxcui:1364347,PONATINIB,True,False,True,,
CYP2C9,hgnc:2623,CYP2C9,DTC,5-Jun-23,,0.025172878,TORSEMIDE,rxcui:38413,TORSEMIDE,True,False,False,,
UNIPROT:P28472,hgnc:4083,GABRB3,TEND,1-Aug-11,,0.094975932,ESTAZOLAM,rxcui:4077,ESTAZOLAM,True,False,False,,
UNIPROT:P26439,hgnc:5218,HSD3B2,TEND,1-Aug-11,,29.49002695,TRILOSTANE,rxcui:38668,TRILOSTANE,True,False,False,,
ZNF211,hgnc:13003,ZNF211,PharmGKB,5-Jun-23,,1.282175085,methylphenidate,rxcui:203188,METHYLPHENIDATE HYDROCHLORIDE,True,False,True,N06BA04,Centrally acting sympathomimetics
HTR2A,hgnc:5293,HTR2A,ChEMBL,32,inhibitor,0.134760215,TRAZODONE HYDROCHLORIDE,rxcui:10737,TRAZODONE,True,False,False,,
PSMA6,hgnc:9535,PSMA6,ChEMBL,32,inhibitor,0.666441287,CARFILZOMIB,rxcui:1302966,CARFILZOMIB,True,False,True,,
GABRB3,hgnc:4083,GABRB3,ChEMBL,32,positive modulator,0.09929302,CLOBAZAM,rxcui:21241,CLOBAZAM,True,False,False,,
HCRTR2,hgnc:4849,HCRTR2,ChEMBL,32,inhibitor,2.680911541,DARIDOREXANT,rxcui:2591497,DARIDOREXANT,True,False,False,,
ATXN2,hgnc:10555,ATXN2,DTC,5-Jun-23,,0.003141916,CYCLOSPORINE,rxcui:3008,CYCLOSPORINE,True,True,False,,
BIRC5,hgnc:593,BIRC5,NCI,14-Sep-17,,0.107431792,DHEA,rxcui:3143,PRASTERONE,True,False,False,,
UNIPROT:P04083,hgnc:533,ANXA1,TEND,1-Aug-11,,0.07021435,DEXAMETHASONE,rxcui:3264,DEXAMETHASONE,True,False,True,H02AB02,Corticosteroids for systemic use
CDK12,hgnc:24224,CDK12,JAX-CKB,5-Jun-23,,0.277553195,Rucaparib,rxcui:1862579,RUCAPARIB,True,False,True,,
SCNN1G,hgnc:10602,SCNN1G,ChEMBL,32,blocker,3.276669661,TRIAMTERENE,rxcui:10763,TRIAMTERENE,True,False,False,,
IDH1,hgnc:5382,IDH1,DTC,5-Jun-23,,0.003450337,ESTRADIOL ACETATE,rxcui:24395,ESTRADIOL VALERATE,True,False,False,,
ADENINE NUCLEOTIDE TRANSLOCATOR 1,hgnc:10990,SLC25A4,TTD,2020.06.01,,11.79601078,Clodronate,rxcui:3350,CLODRONIC ACID,True,False,False,,
CYP2D6,hgnc:2625,CYP2D6,FDA,5-Jun-23,,0.003829376,Risperidone,rxcui:35636,RISPERIDONE,True,False,False,N05AX08,Other antipsychotics
UNIPROT:P49286,hgnc:7464,MTNR1B,TdgClinicalTrial,14-Jan,,1.361078167,MELATONIN,rxcui:6711,MELATONIN,True,False,False,,
RPMJ,hgnc:14490,MRPL36,ChEMBL,32,inhibitor,0.173470747,CLINDAMYCIN PHOSPHATE,rxcui:2582,CLINDAMYCIN,True,False,False,,
RPSA,hgnc:6502,RPSA,ChEMBL,32,inhibitor,0.262133573,CHLORAMPHENICOL PALMITATE,rxcui:20767,CHLORAMPHENICOL PALMITATE,True,False,False,,
YES1,hgnc:12841,YES1,DTC,5-Jun-23,,0.047259659,TIVOZANIB,rxcui:2534233,TIVOZANIB,True,False,True,,
ATAD5,hgnc:25752,ATAD5,DTC,5-Jun-23,,0.039986477,DOMPERIDONE,rxcui:3626,DOMPERIDONE,True,False,False,,
HISTAMINE H1 RECEPTOR,hgnc:5182,HRH1,TTD,2020.06.01,,0.203848113,Diphenhydramine,rxcui:3498,DIPHENHYDRAMINE,True,False,False,,
BAZ2B,hgnc:963,BAZ2B,DTC,5-Jun-23,,0.005225948,DAUNORUBICIN HYDROCHLORIDE,rxcui:81992,DAUNORUBICIN HYDROCHLORIDE,True,False,False,,
FGFR2,hgnc:3689,FGFR2,MyCancerGenome,20-Jun-17,inhibitor,0.364074407,NINTEDANIB,rxcui:1592736,NINTEDANIB ESYLATE,True,False,True,L01XE31,Antineoplastic agents
MAPK3,hgnc:6877,MAPK3,DTC,5-Jun-23,,0.039797607,ETOPOSIDE,rxcui:4179,ETOPOSIDE,True,False,True,,
UNIPROT:Q8N1C3,hgnc:4086,GABRG1,TdgClinicalTrial,14-Jan,,0.113423181,CLOTIAZEPAM,rxcui:2622,CLOTIAZEPAM,True,False,False,,
EGFR,hgnc:3236,EGFR,COSMIC,4-Sep-20,,0.23186262,Osimertinib,rxcui:1721560,OSIMERTINIB,True,False,True,L01XE35,Antineoplastic agents
DYSTROPHIN NONSENSE MUTANT,hgnc:2928,DMD,TTD,2020.06.01,,0.119878158,Ataluren,ncit:C169791,ATALUREN,True,False,False,,
SMAD3,hgnc:6769,SMAD3,DTC,5-Jun-23,,0.007804692,CURCUMIN,rxcui:2955,CURCUMIN,True,False,False,,
RPSA,hgnc:6502,RPSA,ChEMBL,32,inhibitor,0.393200359,OXYTETRACYCLINE CALCIUM,rxcui:82065,OXYTETRACYCLINE CALCIUM,True,False,False,,
RPSA,hgnc:6502,RPSA,ChEMBL,32,inhibitor,0.393200359,LINCOMYCIN HYDROCHLORIDE,rxcui:82036,LINCOMYCIN HYDROCHLORIDE,True,False,False,,
PAH,hgnc:8582,PAH,PharmGKB,5-Jun-23,,23.59202156,carbocisteine,rxcui:2023,CARBOCYSTEINE,True,False,False,,
PROSTAGLANDIN G/H SYNTHASE 2,hgnc:9605,PTGS2,TTD,2020.06.01,,0.032995834,Celecoxib,rxcui:140587,CELECOXIB,True,False,True,M01AH01,Coxibs
RPMJ,hgnc:14490,MRPL36,ChEMBL,32,inhibitor,0.433676867,TIGECYCLINE,rxcui:384455,TIGECYCLINE,True,False,False,,
RPSA,hgnc:6502,RPSA,ChEMBL,32,inhibitor,0.393200359,CAPREOMYCIN SULFATE,rxcui:1987,CAPREOMYCIN SULFATE,True,False,False,,
SCN8A,hgnc:10596,SCN8A,ChEMBL,32,blocker,0.090878357,TETRACAINE HYDROCHLORIDE,rxcui:10391,TETRACAINE,True,False,False,,
CACNA1D,hgnc:1391,CACNA1D,ChEMBL,32,blocker,0.302461815,LERCANIDIPINE HYDROCHLORIDE,rxcui:153679,LERCANIDIPINE HYDROCHLORIDE,True,False,False,,
RPL41,hgnc:10354,RPL41,ChEMBL,32,modulator,0.14385379,ATALUREN,ncit:C169791,ATALUREN,True,False,False,,
PSMB8,hgnc:9545,PSMB8,DTC,5-Jun-23,,0.499830965,CARFILZOMIB,rxcui:1302966,CARFILZOMIB,True,False,True,,
ESR,hgnc:3467,ESR1,FDA,5-Jun-23,,0.25902527,Fulvestrant,rxcui:282357,FULVESTRANT,True,False,True,,
RPSA,hgnc:6502,RPSA,ChEMBL,32,inhibitor,0.393200359,TIGECYCLINE,rxcui:384455,TIGECYCLINE,True,False,False,,
UNIPROT:P35368,hgnc:278,ADRA1B,TdgClinicalTrial,14-Jan,,0.345586253,DOXAZOSIN,rxcui:39173,DOXAZOSIN MESYLATE,True,False,False,,
AR,hgnc:644,AR,DTC,5-Jun-23,,0.034211168,ALCLOFENAC,ncit:C174701,ALCLOFENAC,True,False,False,,
CYP2D6,hgnc:2625,CYP2D6,DTC,5-Jun-23,,0.016274849,COUMARIN,rxcui:2898,COUMARIN,True,False,False,,
RPS6KB1,hgnc:10436,RPS6KB1,DTC,5-Jun-23,,0.016604745,SORAFENIB,rxcui:495881,SORAFENIB,True,False,True,L01XE05,Antineoplastic agents
RORC,hgnc:10260,RORC,DTC,5-Jun-23,,0.030527978,MELPHALAN,rxcui:6718,MELPHALAN,True,False,True,,
COAGULATION FACTOR XA,hgnc:3528,F10,TTD,2020.06.01,,1.594055511,Semuloparin,rxcui:2368733,SEMULOPARIN,True,False,False,,
NPSR1,hgnc:23631,NPSR1,DTC,5-Jun-23,,0.043883969,LORATADINE,rxcui:28889,LORATADINE,True,False,False,,
ADRB1,hgnc:285,ADRB1,ChEMBL,32,inhibitor,0.677931654,LEVOBETAXOLOL HYDROCHLORIDE,rxcui:261718,LEVOBETAXOLOL HYDROCHLORIDE,True,False,False,,
HTR2C,hgnc:5295,HTR2C,ChEMBL,32,inhibitor,0.128403601,QUETIAPINE FUMARATE,rxcui:221153,QUETIAPINE FUMARATE,True,False,False,,
SCN5A,hgnc:10593,SCN5A,ChEMBL,32,blocker,0.167556971,LIDOCAINE,rxcui:6387,LIDOCAINE,True,False,False,,
GFAP,hgnc:4235,GFAP,NCI,14-Sep-17,,0.068501805,LITHIUM,rxcui:6448,LITHIUM,True,False,False,,
CYP 20.00,hgnc:2631,CYP 20.00,PharmGKB,5-Jun-23,,0.361563549,acetaminophen,rxcui:161,ACETAMINOPHEN,True,False,False,,
GABPA,hgnc:4071,GABPA,NCI,14-Sep-17,,0.248860987,QUERCETIN,rxcui:9060,QUERCETIN,True,False,True,No ATC code,Nutraceutical
UNIPROT:P31644,hgnc:4079,GABRA5,TEND,1-Aug-11,,0.100534183,TALBUTAL,rxcui:89810,TALBUTAL,True,False,False,,
BDNF,hgnc:1033,BDNF,NCI,14-Sep-17,,0.027400722,LITHIUM,rxcui:6448,LITHIUM,True,False,False,,
SULT1A3,hgnc:11455,SULT1A3,PharmGKB,5-Jun-23,,2.949002695,tapentadol,rxcui:787390,TAPENTADOL,True,False,False,,
KCNJ11,hgnc:6257,KCNJ11,ChEMBL,32,blocker,0.225977218,GLIPIZIDE,rxcui:4821,GLIPIZIDE,True,False,False,,
UNIPROT:P09693,hgnc:1675,CD3G,TdgClinicalTrial,14-Jan,,1.179601078,CATUMAXOMAB,ncit:C62445,CATUMAXOMAB,True,False,True,,
ANTITHROMBIN-III,hgnc:775,SERPINC1,TTD,2020.06.01,,0.315401358,Unfractionated heparin,rxcui:104466,TINZAPARIN SODIUM,True,False,False,B01AB10,Heparin group
PRKAG1,hgnc:9385,PRKAG1,DTC,5-Jun-23,,2.246859196,METFORMIN,rxcui:6809,METFORMIN,True,False,True,,
SCN10A,hgnc:10582,SCN10A,ChEMBL,32,blocker,0.155210668,DIBUCAINE HYDROCHLORIDE,rxcui:235402,DIBUCAINE HYDROCHLORIDE,True,False,False,,
GABRB1,hgnc:4081,GABRB1,ChEMBL,32,positive modulator,0.023975632,PROPOFOL,rxcui:8782,PROPOFOL,True,False,False,N01AX10,General anesthetics
RPMJ,hgnc:14490,MRPL36,ChEMBL,32,inhibitor,0.061953838,METHACYCLINE HYDROCHLORIDE,rxcui:235554,METHACYCLINE HYDROCHLORIDE,True,False,False,,
SOD2,hgnc:11180,SOD2,PharmGKB,5-Jun-23,,0.702143499,asparaginase,rxcui:1156,ASPARAGINASE,True,False,True,,
CYP1A2,hgnc:2596,CYP1A2,DTC,5-Jun-23,,0.002965312,CYTARABINE,rxcui:3041,CYTARABINE,True,False,True,,
KCNH2,hgnc:6251,KCNH2,DTC,5-Jun-23,,0.028005724,LOXAPINE SUCCINATE,rxcui:6476,LOXAPINE SUCCINATE,True,False,False,,
ABCB1,hgnc:40,ABCB1,NCI,14-Sep-17,,0.061694617,VITAMIN E,rxcui:11256,VITAMIN E,True,False,False,,
VWF,hgnc:12726,VWF,ChEMBL,32,positive modulator,3.104213363,VONICOG ALFA,rxcui:1812589,VONICOG ALFA,True,False,False,,
CYP3A4,hgnc:2637,CYP3A4,DTC,5-Jun-23,,0.003816862,DACTINOMYCIN,rxcui:3100,DACTINOMYCIN,True,False,False,,
DRD3,hgnc:3024,DRD3,ChEMBL,32,inhibitor,0.132837959,LOXAPINE,rxcui:6475,LOXAPINE,True,False,False,,
KCNH2,hgnc:6251,KCNH2,DTC,5-Jun-23,,0.003818962,IDARUBICIN,rxcui:5650,IDARUBICIN,True,False,True,L01DB06,Anthracyclines and related substances
PSMC3IP,hgnc:17928,PSMC3IP,MyCancerGenome,20-Jun-17,other/unknown,0.346941494,BORTEZOMIB,rxcui:358258,BORTEZOMIB,True,False,True,,
VDR,hgnc:12679,VDR,DTC,5-Jun-23,,0.041741015,BRONOPOL,rxcui:1114345,BRONOPOL,True,False,False,,
