Gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
CCDC13,-0.303399441,8.825637315,-4.40052272,1.30E-05,3.37E-05,2.714791096
ATP6V0D1,1.058561183,11.25928092,4.395862158,1.32E-05,3.43E-05,2.695280735
OFD1,0.311477191,9.727577104,4.3881292,1.37E-05,3.54E-05,2.662950971
DNAH10,-0.520795401,8.376996232,-4.386341608,1.38E-05,3.55E-05,2.655484994
MYO15A,-0.514050659,8.465627622,-4.386097499,1.38E-05,3.55E-05,2.654465678
RIBC1,-0.390483634,8.376322447,-4.380147722,1.42E-05,3.64E-05,2.629637802
HAUS3,-0.435613563,8.914350026,-4.375687017,1.45E-05,3.70E-05,2.611044278
CLASP1,0.552078287,10.49526336,4.370049245,1.49E-05,3.78E-05,2.587569646
NGFR,-0.611020002,8.677162488,-4.364078987,1.52E-05,3.87E-05,2.562741354
RAB11A,0.77131178,10.80421322,4.361040292,1.55E-05,3.91E-05,2.550116591
CATSPER3,-0.440978675,7.807183496,-4.354100666,1.59E-05,4.02E-05,2.521315504
GNAT2,-0.639990738,7.864890853,-4.345721814,1.65E-05,4.15E-05,2.486598281
GUCA2B,-0.382280347,8.029198246,-4.336636906,1.72E-05,4.31E-05,2.449026029
UBXN10,-0.245854514,8.849522914,-4.332538489,1.75E-05,4.38E-05,2.432100309
DNAI2,-0.559918155,8.243292619,-4.326457726,1.80E-05,4.48E-05,2.407015364
ATP2B4,0.507044107,10.30099433,4.314634582,1.90E-05,4.70E-05,2.358335526
C10orf107,-0.7372532,8.048807162,-4.312108988,1.92E-05,4.74E-05,2.347952931
TTC21A,-0.325232904,8.569218939,-4.307363949,1.96E-05,4.83E-05,2.32846165
POC1A,-0.314937138,8.49744954,-4.305594308,1.97E-05,4.85E-05,2.321197592
GUCA1B,-0.339716393,8.911547236,-4.293506747,2.08E-05,5.10E-05,2.271654898
ATXN10,0.976103108,10.87891032,4.292054805,2.09E-05,5.11E-05,2.265712645
IPO5,0.417361556,10.04430689,4.285088305,2.16E-05,5.25E-05,2.237227503
AURKA,-0.417518073,8.253257003,-4.275434478,2.25E-05,5.46E-05,2.197825701
DNHD1,-0.3665942,8.631916778,-4.2729697,2.27E-05,5.51E-05,2.187779094
TUBB3,1.157806342,11.43732817,4.256132719,2.44E-05,5.90E-05,2.119295263
RPGRIP1,-0.360578865,8.074716824,-4.254213782,2.47E-05,5.94E-05,2.111506104
SLC9A3R1,0.563830584,10.20922765,4.233645533,2.69E-05,6.47E-05,2.02822391
CSNK2B,0.790291035,10.95181906,4.226154776,2.78E-05,6.66E-05,1.997987176
STOML3,-0.592614328,8.113553766,-4.221033632,2.84E-05,6.77E-05,1.977344329
CROCC,-0.364104758,8.655656617,-4.220803414,2.85E-05,6.77E-05,1.976416892
AHI1,0.311414564,9.889730948,4.214919048,2.92E-05,6.93E-05,1.952727712
TTC29,-0.576639619,7.625119039,-4.203552408,3.07E-05,7.25E-05,1.907055733
NUDCD3,0.501496596,10.40516732,4.203067718,3.07E-05,7.25E-05,1.905110778
ONECUT1,-0.378291737,7.973807889,-4.199246993,3.12E-05,7.34E-05,1.889786432
SPATA17,-0.548242808,7.652874787,-4.197826386,3.14E-05,7.35E-05,1.884091921
FAM65B,0.337531242,9.745897198,4.197741177,3.14E-05,7.35E-05,1.883750417
MYB,-0.46898567,8.080991172,-4.181987214,3.36E-05,7.84E-05,1.820722834
DNAH12,-0.546358529,7.952164431,-4.175929479,3.45E-05,8.02E-05,1.796546515
AK7,-0.281064538,8.251657215,-4.171025051,3.52E-05,8.17E-05,1.776997098
DISC1,-0.300703858,7.848963933,-4.158983827,3.71E-05,8.57E-05,1.729091258
LRRC34,-0.49333363,8.671672915,-4.150702425,3.84E-05,8.85E-05,1.696219227
MYRIP,0.492946119,9.518451949,4.147274309,3.90E-05,8.95E-05,1.68262972
DLD,0.549620034,10.23826584,4.145035866,3.93E-05,9.01E-05,1.673761924
SSX2IP,0.672634129,10.31740188,4.142144277,3.98E-05,9.10E-05,1.662313281
DYNC1H1,0.52837006,10.32676681,4.139262725,4.03E-05,9.17E-05,1.650911835
MORN3,-0.303551492,8.958209795,-4.138992781,4.04E-05,9.17E-05,1.649844128
GSK3B,0.44191453,10.19381333,4.137822724,4.06E-05,9.19E-05,1.645216972
FAM216B,-0.740643507,7.837972496,-4.134213113,4.12E-05,9.30E-05,1.630949984
CNGB1,-0.557277007,9.093014418,-4.133063826,4.14E-05,9.32E-05,1.62640988
ABCC4,-0.639747839,8.408917557,-4.119898415,4.37E-05,9.83E-05,1.574486257
C5orf30,0.540866511,10.25534624,4.117840245,4.41E-05,9.89E-05,1.566383016
MYO5A,0.637306887,10.250874,4.10957813,4.57E-05,0.000102073,1.533892439
FANK1,-0.443906819,8.966111483,-4.105740283,4.64E-05,0.000103445,1.518821049
C9orf24,0.474462852,9.965687784,4.093983215,4.88E-05,0.000108373,1.472732897
RSPH1,0.417524134,10.06368663,4.08531721,5.06E-05,0.000112066,1.438841359
LYZL4,-0.274640461,8.815460515,-4.076858607,5.24E-05,0.000115778,1.405826065
CNGA3,-0.598713623,7.655515368,-4.073779103,5.31E-05,0.000116955,1.393822243
KIFAP3,0.922819344,11.05694039,4.071970174,5.35E-05,0.00011752,1.386775062
HSP90B1,0.867070823,10.59237283,4.051807326,5.81E-05,0.000127455,1.308424497
COPS8,0.589643568,10.35723973,4.031412332,6.33E-05,0.000137944,1.229544275
KIF3C,0.765152096,10.71340469,4.03140709,6.33E-05,0.000137944,1.229524047
TOPORS,0.326772249,9.750210756,4.026143324,6.47E-05,0.000140597,1.209226644
IQUB,-0.687292251,7.989746046,-4.012219966,6.85E-05,0.000148078,1.155657753
DNAL1,0.519357398,9.736464304,4.012013091,6.85E-05,0.000148078,1.154863137
CCDC81,-0.631913497,8.121671123,-4.011618553,6.86E-05,0.000148078,1.153347809
TCTEX1D2,0.435174557,10.01551417,4.007039874,6.99E-05,0.000150492,1.135772434
SLC26A6,-0.384953728,8.959651884,-4.004361466,7.07E-05,0.000151755,1.125500067
KIAA0586,-0.190689367,9.126614565,-3.997629922,7.27E-05,0.000155596,1.099711485
CCNO,-0.477712888,8.922209468,-3.983304489,7.71E-05,0.000164567,1.044966832
UBE2B,0.556125728,10.19657879,3.980343006,7.80E-05,0.000166134,1.033672636
TRPV4,-0.434539946,8.735025579,-3.959764754,8.49E-05,0.000179945,0.9554123
ATG16L1,-0.26896486,9.186682631,-3.959480794,8.50E-05,0.000179945,0.95433506
GMNC,-0.363131911,7.383713575,-3.945249976,9.00E-05,0.000190161,0.900441975
ACTL7A,-0.301503831,7.733247049,-3.943125099,9.08E-05,0.000191308,0.892410638
CYS1,-0.51395766,8.63763418,-3.936080812,9.34E-05,0.000196338,0.865814767
WDR78,-0.569780306,8.216393745,-3.929446094,9.60E-05,0.000201159,0.840806307
CEP76,-0.34062517,8.954769129,-3.920176381,9.96E-05,0.000208296,0.805932413
MAGI2,0.493627124,10.05713387,3.908575051,0.000104413,0.000217706,0.762396315
KIF3A,0.78455814,10.40563665,3.905686145,0.000105634,0.000219686,0.751574133
NBEA,0.750166178,10.53082058,3.903033413,0.000106767,0.000221473,0.741643352
ANKS6,-0.277767912,8.739669642,-3.899279688,0.00010839,0.000223927,0.727601781
ARMC4,-0.34323424,8.084229549,-3.899019827,0.000108504,0.000223927,0.726630189
PCNT,0.350838269,10.10125266,3.897229307,0.000109287,0.00022497,0.719937309
EXOC4,0.149822259,9.49158697,3.894421441,0.000110526,0.000226943,0.709447485
DMD,0.235456352,9.437829589,3.882428762,0.000115969,0.000237516,0.664724877
PLA2G3,-0.255978402,8.017066684,-3.878601911,0.000117759,0.000240573,0.650481396
C11orf49,0.436331767,9.860883025,3.876201855,0.000118894,0.000242281,0.641555203
TRAPPC3,0.481979753,10.37777025,3.873227528,0.000120316,0.000244562,0.630500461
DZIP1,0.36438255,9.738453867,3.860907231,0.000126378,0.000256241,0.584794862
MAP9,0.534352533,10.06434178,3.858861411,0.000127413,0.000257692,0.57721866
CALML4,-0.520705638,8.389669752,-3.845023269,0.000134621,0.000271592,0.526072248
PCDHB15,-0.57393238,8.481029641,-3.842991682,0.000135711,0.00027311,0.518578055
TEKT5,-0.235364311,7.828706176,-3.833672584,0.000140819,0.000282687,0.48424948
CLDN2,-0.441238524,7.909001747,-3.823146597,0.000146807,0.000293978,0.445570056
CCDC33,-0.317629773,8.866103538,-3.814512788,0.000151898,0.00030342,0.413918965
CDHR1,-0.437360565,8.74163045,-3.807452068,0.000156184,0.000310665,0.38808514
KIF7,-0.427943447,8.953784441,-3.807275367,0.000156293,0.000310665,0.387439207
C6orf118,-0.492788053,7.788357521,-3.787002908,0.000169251,0.000335598,0.3135216
RAB15,0.641865724,10.3857406,3.779971434,0.000173977,0.000344126,0.287970796
KIF17,-0.385829069,9.066598255,-3.77814562,0.000175225,0.000345083,0.281343562
C9orf135,-0.583662901,8.246471095,-3.778015492,0.000175314,0.000345083,0.280871346
FAM49B,0.441375381,10.03238231,3.775290486,0.000177192,0.000347934,0.270986255
FAM229B,0.455506311,10.2609668,3.773354877,0.000178538,0.000349727,0.263968845
DCTN2,0.577999062,10.44342632,3.758074155,0.000189506,0.000370315,0.208689614
RFX2,-0.363335833,8.959108777,-3.755555213,0.000191374,0.000373064,0.199597581
ZMYND10,-0.390378138,8.695553121,-3.753327532,0.00019304,0.000375408,0.191561665
CC2D2A,-0.275553915,8.70905424,-3.747027698,0.000197827,0.000383794,0.168860768
EFTUD2,0.354728211,9.883650745,3.741064595,0.000202461,0.000391844,0.147406608
C11orf63,-0.456866136,8.739150635,-3.740410393,0.000202975,0.000391902,0.145054884
ACTR1A,0.539327801,10.55895757,3.732245492,0.000209502,0.00040354,0.115736568
CCDC173,-0.420870361,8.822380125,-3.71934168,0.00022022,0.000423178,0.069525992
TTC12,-0.260784065,8.678878229,-3.71574235,0.000223301,0.000428081,0.056663351
MROH2B,-0.304657299,7.6641918,-3.69852814,0.000238603,0.000456335,-0.004690039
ANKMY2,0.658470886,10.5619844,3.696117145,0.000240823,0.000459495,-0.013261473
TRIP11,-0.233461224,8.89180242,-3.689545765,0.000246974,0.000470122,-0.036596697
PGK2,-0.286595067,8.499982012,-3.670603392,0.000265542,0.00050428,-0.103640774
SHANK2,0.345531237,9.646492086,3.66787856,0.000268318,0.000508359,-0.113257952
WDR5B,-0.413901759,8.789520761,-3.648939685,0.000288383,0.000545097,-0.179914114
CNTRL,-0.295454124,8.939399698,-3.646601417,0.000290956,0.000548679,-0.188120964
RAB11FIP3,0.533336888,10.38157224,3.644085408,0.000293748,0.000552656,-0.196946055
DZANK1,-0.197840262,9.066599579,-3.640281171,0.000298018,0.000559389,-0.210278691
ALMS1,0.349217915,9.653006839,3.63843468,0.000300112,0.000562015,-0.216745274
PRKAR1B,0.554304203,9.938893092,3.629104138,0.000310903,0.00058088,-0.249373898
ZSCAN18,0.568730056,10.42042824,3.622119206,0.00031922,0.000594778,-0.273747764
SFI1,-0.258136999,9.011754759,-3.621627405,0.000319813,0.000594778,-0.275462213
C9orf116,-0.311883522,9.300190099,-3.617826741,0.000324433,0.000601987,-0.288704095
MAK,-0.455906709,7.901416452,-3.614822083,0.00032813,0.000607454,-0.299163236
CCDC170,-0.513173883,8.267708991,-3.61386475,0.000329316,0.000608258,-0.302493947
ATP6V1C1,0.563217354,10.33863328,3.60807787,0.000336573,0.000620244,-0.32260952
WRAP73,-0.203358546,8.987407595,-3.597970364,0.000349608,0.000642801,-0.357670173
MAATS1,-0.444177484,8.622598001,-3.591690226,0.000357944,0.000656636,-0.379407321
NUP37,-0.324631719,8.862974602,-3.580133073,0.000373773,0.000684124,-0.419314923
KIF19,-0.46345156,8.540358683,-3.573961531,0.000382493,0.000698503,-0.440575412
B9D1,-0.246746164,9.371866088,-3.57002871,0.000388148,0.000707235,-0.454105428
TULP2,-0.276008497,7.616071049,-3.565877216,0.000394204,0.000716653,-0.468372319
LRBA,0.210575463,9.576408964,3.563840481,0.000397206,0.000720493,-0.475365907
CIB2,-0.220167589,9.051648296,-3.561898895,0.000400089,0.000724098,-0.482029229
HAUS8,-0.315887331,8.419628746,-3.558736898,0.000404825,0.000731035,-0.49287346
GLI2,-0.324913346,8.545046045,-3.549616789,0.000418782,0.000754554,-0.524099852
C11orf88,-0.583095835,8.103593116,-3.548011106,0.000421286,0.000757378,-0.529589639
HAP1,-0.188327247,9.171821112,-3.547360993,0.000422303,0.000757524,-0.531811686
RABL2A,0.298296721,9.745187728,3.542561068,0.000429888,0.000769423,-0.548205496
EXOC5,0.273318603,9.633469827,3.541746456,0.000431187,0.000770045,-0.550985645
LRRC49,0.365693598,10.02707275,3.536025512,0.00044042,0.000784801,-0.570493161
STK33,-0.367150553,8.707530464,-3.535253343,0.00044168,0.000785317,-0.57312383
EZR,0.575307001,10.4055688,3.53164016,0.000447622,0.000794136,-0.585426135
APOO,0.571140125,10.43679808,3.528106652,0.000453505,0.0008019,-0.597445539
LRRC73,-0.430204216,9.076945106,-3.527822706,0.000453981,0.0008019,-0.598410896
RABGAP1L,0.331727106,9.773999846,3.525429175,0.000458011,0.000807256,-0.606545457
BBS1,0.205008045,9.8055245,3.52389668,0.000460608,0.00081007,-0.611750965
SNX10,0.832489206,10.54716201,3.518889645,0.000469193,0.000823377,-0.628743562
RANBP1,0.284939712,9.913517087,3.517661,0.000471322,0.000825323,-0.63290974
ABHD6,0.321667584,9.942369702,3.515733029,0.000474681,0.00082941,-0.639444445
SYNE2,-0.308906656,8.613271577,-3.512401093,0.000480539,0.000837837,-0.650729707
PRKAR2B,0.860774805,10.48834608,3.50726768,0.000489698,0.000851969,-0.668096564
DNAH17,-0.39139618,8.67999854,-3.504797458,0.000494163,0.000857892,-0.676444921
AGBL2,-0.477498367,7.768780893,-3.500319103,0.000502355,0.000870246,-0.691565634
CAPSL,-0.622689698,8.748122376,-3.487618557,0.000526282,0.000909749,-0.734347215
DLG5,0.34738886,9.708064167,3.482505321,0.000536213,0.000924939,-0.75152909
TAPT1,0.205519875,9.652853799,3.465683785,0.000570132,0.000981356,-0.807883945
PHTF1,-0.206776103,9.184745029,-3.463924682,0.000573793,0.000985304,-0.81376215
NME5,0.460385523,10.1531141,3.463412885,0.000574862,0.000985304,-0.815471827
CNOT10,-0.215969697,9.189088424,-3.460914909,0.000580107,0.000992191,-0.823812959
PPID,0.443124963,9.938848755,3.444032592,0.000616742,0.001052625,-0.88003466
KCTD17,0.212236505,9.208979859,3.438088316,0.000630147,0.00107324,-0.899767728
TCEA2,0.29293596,10.01991593,3.433573584,0.000640509,0.001088597,-0.914733371
TMEM216,0.247295695,9.842116811,3.428296959,0.000652822,0.001107197,-0.932200708
GLI1,-0.323281541,8.881701177,-3.426662215,0.000656681,0.001111412,-0.93760702
PSEN2,-0.136951914,9.328883534,-3.416049828,0.000682255,0.001152284,-0.972643527
DNAH9,-0.310951054,8.874377741,-3.406258748,0.00070667,0.001191034,-1.004876188
RRAD,-0.401455941,8.37806628,-3.403017564,0.00071493,0.00120245,-1.015526782
SEC63,0.313007619,9.854897241,3.398743303,0.000725961,0.001218469,-1.029557231
EFCAB1,-0.526173474,8.764899943,-3.394549994,0.000736936,0.001234329,-1.04330553
SPAG16,0.162931794,9.255244586,3.391292571,0.000745568,0.001246208,-1.053974182
TEKT1,-0.439633874,8.776921288,-3.374065102,0.000792808,0.001322437,-1.110233998
PPP1R7,0.53528224,10.53615871,3.35094234,0.0008606,0.001432562,-1.185314194
DNAI1,-0.306684744,8.463889017,-3.34432215,0.000880979,0.001463474,-1.206718917
PKIG,0.524790578,10.22461356,3.327931143,0.000933383,0.00154735,-1.259540323
PPP2R1A,0.761725361,11.03789873,3.319631781,0.000961007,0.001589888,-1.286190718
PTPDC1,0.291813034,9.781907539,3.318500946,0.00096483,0.001592954,-1.289817037
OXCT2,-0.279961216,8.683786721,-3.316437353,0.000971841,0.001601262,-1.296431436
IFT27,-0.155951888,9.364611842,-3.307068865,0.001004271,0.001651332,-1.326410402
EFHC2,-0.364709387,8.588223243,-3.299102239,0.001032636,0.001694529,-1.351839355
SMO,-0.208778404,9.125237279,-3.296819773,0.001040899,0.00170463,-1.359113983
HTR6,-0.348608108,8.653878896,-3.285595243,0.001082432,0.001769065,-1.394818177
CDC14B,0.194798193,9.537857138,3.28484449,0.001085264,0.001770118,-1.39720208
SCNN1A,-0.264388495,8.675522956,-3.277647157,0.001112765,0.001811322,-1.420029544
ARL2BP,0.330308591,10.14890995,3.275593294,0.001120731,0.001820625,-1.426534867
STX3,-0.182782907,9.329289657,-3.26657757,0.001156326,0.001874685,-1.455044532
SUFU,-0.17703435,8.75642004,-3.26523083,0.001161732,0.001879683,-1.45929673
SEC61A2,0.291655162,9.804040722,3.261182705,0.001178124,0.001902399,-1.472068137
WDR5,-0.142687093,9.297645165,-3.256713503,0.001196469,0.001928174,-1.486150302
HNF1B,-0.266146469,8.678423057,-3.247169079,0.001236537,0.001988784,-1.51616198
FNBP1L,0.341887941,9.902907116,3.238997529,0.001271825,0.00204148,-1.541789447
TUB,0.273858319,9.864040447,3.238366189,0.001274589,0.002041867,-1.543766859
AGBL4,-0.341128796,8.402808498,-3.237368059,0.001278972,0.002044838,-1.546892335
PRPH2,-0.443254284,8.915501417,-3.230662662,0.001308776,0.002088363,-1.567865112
C11orf70,-0.550311526,8.38623114,-3.213028142,0.001390254,0.002214006,-1.622821659
GUCA1A,-0.300114403,8.994283763,-3.210504013,0.001402292,0.002228283,-1.630664216
SPAG6,-0.53892676,8.730667397,-3.20999599,0.001404727,0.002228283,-1.632241943
NEDD1,-0.300614177,8.923979343,-3.198572013,0.001460517,0.00231179,-1.667657029
GPR157,-0.272974862,8.163502976,-3.198055835,0.001463086,0.00231179,-1.669254345
NEK8,-0.211084689,9.030397144,-3.194796186,0.001479403,0.002333015,-1.67933561
FOPNL,0.269272546,9.907322979,3.181565422,0.001547373,0.002435457,-1.720153339
TAS2R4,-0.327754945,7.769619665,-3.164908304,0.001637045,0.002571591,-1.771309522
SYNE1,0.373504271,9.94085315,3.161559476,0.001655642,0.002595765,-1.78156297
NPHP4,-0.289354836,8.667258761,-3.148619884,0.001729347,0.002706078,-1.821083113
DNAJA4,0.449741288,10.54930934,3.14687307,0.001739526,0.00271675,-1.826406268
TTLL6,-0.180366795,7.985302241,-3.123349049,0.001882088,0.002933736,-1.897814721
NUP93,0.313936081,9.893105053,3.118725226,0.001911345,0.002973612,-1.911789815
MDH1B,-0.253016257,9.091624028,-3.116727422,0.001924115,0.002987733,-1.917821821
CSNK1D,0.247669895,9.842673154,3.114512108,0.001938367,0.003004098,-1.924506198
ABHD2,0.285090971,9.653244445,3.103026632,0.00201383,0.003115083,-1.959088371
DNAH2,-0.277339153,8.46016307,-3.09434169,0.002072677,0.003195951,-1.985156408
LCA5,-0.359200126,8.716066892,-3.094147648,0.00207401,0.003195951,-1.985738023
MLF1,0.266278281,9.469294074,3.074299012,0.002214568,0.003406056,-2.045045711
TEX26,-0.421274712,8.060518903,-3.055201474,0.00235802,0.003619807,-2.101761156
PROM1,-0.305182772,9.256064413,-3.053038498,0.002374794,0.003638653,-2.108163192
RUVBL1,-0.241716225,9.295822285,-3.033281452,0.002533161,0.003873964,-2.166437834
RAB27A,-0.314047718,8.837628527,-3.027331615,0.002582717,0.003942298,-2.183915606
ZMYND12,-0.320275012,8.924894943,-3.023768386,0.002612819,0.003980736,-2.194366785
FAM81B,-0.586980492,8.015933348,-3.005941511,0.002768307,0.004202568,-2.246475421
RFX3,0.285305445,9.636537979,3.005885164,0.002768811,0.004202568,-2.246639653
AKAP3,-0.310961035,8.375179165,-3.003548266,0.002789814,0.004226516,-2.25344828
CEP97,0.319858434,9.538049307,2.99389082,0.002878167,0.004352218,-2.281531231
CDK5RAP2,0.143554945,9.519332686,2.986498956,0.002947515,0.004448767,-2.302966965
SF3A1,0.329914946,9.813222638,2.984717379,0.002964456,0.004466005,-2.308125711
CCDC63,-0.260587379,7.972555293,-2.971032366,0.003097588,0.004657897,-2.347652774
HAUS1,-0.222354362,9.074932463,-2.957976529,0.003229672,0.004847504,-2.385198663
FAM161A,-0.163932299,9.326210704,-2.950797255,0.003304478,0.004950597,-2.405776549
OSBPL6,0.302208198,9.832191203,2.933122028,0.00349544,0.005227007,-2.456232496
NUP35,0.253856643,9.605181214,2.923654843,0.003601814,0.005376139,-2.483136882
POR,-0.261363609,9.438434661,-2.919589958,0.003648387,0.005435626,-2.494662843
CSNK1G1,-0.154449866,9.170868124,-2.916089837,0.003688928,0.005485924,-2.504574969
SPATA4,-0.234965135,8.28370021,-2.914378367,0.003708901,0.005505506,-2.509417551
PTGS1,-0.302866068,8.95885231,-2.910727253,0.003751839,0.005559044,-2.519739122
SHROOM3,-0.213865617,8.689903646,-2.905833706,0.0038101,0.005635047,-2.533553338
TBC1D7,-0.235971563,9.007432384,-2.896067464,0.003928843,0.005800062,-2.561055553
DYNC2H1,-0.159478727,9.248609884,-2.887898895,0.004030738,0.005939649,-2.5839897
CCR6,-0.818053516,8.633571789,-2.851036485,0.004521147,0.006650197,-2.686703339
NIN,0.12028715,9.450309584,2.828188268,0.004851713,0.007123476,-2.749724914
ARFGEF2,0.283098912,9.600917904,2.825966232,0.004885003,0.007159362,-2.755827626
SRGAP3,0.243789224,9.955951002,2.823803454,0.004917605,0.007194109,-2.761763115
PTPN23,-0.124585645,9.408325751,-2.819534649,0.004982532,0.007275936,-2.773465398
APOBEC4,-0.307688304,7.778691692,-2.812012435,0.005098838,0.00743236,-2.794044571
PROM2,-0.159778556,8.772769527,-2.809499049,0.005138244,0.00747633,-2.800908758
ELMOD3,-0.253109659,9.075457969,-2.80194192,0.005258396,0.00763742,-2.821511752
SPAG17,-0.38856106,8.002170346,-2.798202411,0.005318788,0.007711289,-2.831686837
ELMOD2,-0.15858171,9.002113764,-2.782587341,0.00557781,0.008072359,-2.874032262
CELSR3,0.284426113,10.01784279,2.74427785,0.006262302,0.00904679,-2.976945277
WWTR1,0.314615605,9.586394752,2.729369667,0.006548553,0.009443456,-3.016618963
TMEM80,0.112155449,9.431009522,2.726931652,0.006596471,0.009495632,-3.023087012
RAB23,0.183102968,9.688810846,2.708843864,0.006961973,0.010003972,-3.070898215
SQSTM1,0.295016242,10.06268916,2.697410716,0.007202312,0.010330976,-3.100959555
CDHR3,-0.246263138,9.055354054,-2.679628626,0.007590974,0.010869201,-3.14746827
CAV1,0.219313398,9.721269616,2.67610915,0.007670098,0.010963091,-3.15663788
PIN1,0.652681764,10.97014946,2.672036642,0.00776258,0.011066867,-3.167233707
PLK1,-0.187081292,8.164522115,-2.671709055,0.007770062,0.011066867,-3.168085338
TUBGCP5,-0.191710199,9.227116886,-2.669373929,0.007823587,0.011123518,-3.174153039
ALDH1A1,0.329636764,10.10457734,2.666575181,0.007888175,0.011195673,-3.18141863
AVIL,-0.204980732,9.011528093,-2.664394482,0.007938831,0.011247836,-3.18707461
PHLPP2,0.280523531,9.439971434,2.661044476,0.00801722,0.01133904,-3.195754588
CRB3,-0.20776294,9.052299887,-2.658708483,0.008072291,0.011397004,-3.201800928
RSPH3,0.160971597,9.633970542,2.65378408,0.008189498,0.011542342,-3.214530004
SPAG1,-0.232493214,8.942838594,-2.652586553,0.008218231,0.011550741,-3.217622011
HAUS2,0.279161566,9.956215287,2.651956474,0.008233385,0.011550741,-3.219248325
EHD3,0.271833137,9.981287878,2.651752702,0.008238291,0.011550741,-3.219774207
GALR3,0.283866031,7.941264312,2.647628969,0.008338144,0.011670517,-3.230407999
MDM1,-0.199193639,9.101237656,-2.644282557,0.008419972,0.011764693,-3.239025475
EXOC6B,0.262744358,9.638041188,2.633927686,0.008677754,0.01210397,-3.265623418
TMEM138,-0.193700843,9.35350964,-2.632879559,0.008704237,0.012120013,-3.268310012
DCTN3,0.573813654,10.7646444,2.611088226,0.009271496,0.012887698,-3.32393011
PIGS,0.241932794,9.90369527,2.606204283,0.009403083,0.013048188,-3.336334032
VANGL2,0.26226756,9.388138139,2.583542419,0.010035768,0.013902289,-3.393592764
TTLL4,-0.206056945,8.936360406,-2.573394319,0.010331213,0.014287096,-3.419075365
PSEN1,0.257238856,9.460817834,2.571948462,0.010373932,0.014321691,-3.422698048
IFT172,0.173948933,9.61894902,2.567251063,0.010513812,0.014490075,-3.434453962
CEP57,0.17374047,9.521833624,2.563551469,0.01062516,0.014618631,-3.44369796
NEK1,0.153279889,9.392817436,2.554311122,0.010907878,0.014982129,-3.466729534
BBS12,-0.224710435,9.129375068,-2.54466608,0.011210111,0.015371152,-3.490683207
C1orf194,-0.286004551,9.207036225,-2.54324897,0.011255139,0.015406781,-3.494195176
RAB36,-0.257544068,9.151806718,-2.539628783,0.011370903,0.015538953,-3.503158273
GUCY2D,-0.130578349,7.861877796,-2.533523536,0.011568534,0.015758625,-3.518245803
ADCY3,0.356789821,10.14052842,2.533459891,0.01157061,0.015758625,-3.518402897
EXOC3,0.161041448,9.806773273,2.505515296,0.01251489,0.017016043,-3.587006251
CCDC146,-0.276851766,9.002003759,-2.494871164,0.012892184,0.017499625,-3.612941834
DRD1,-0.477983221,8.918661081,-2.490352675,0.013055375,0.017691455,-3.623918998
TTLL5,-0.211299874,8.894830438,-2.478371111,0.013497008,0.01825933,-3.652932695
FAM179A,-0.266020579,9.092293095,-2.451812274,0.014523434,0.019615122,-3.716757923
TTLL9,-0.201528284,8.754388538,-2.42340687,0.015697036,0.02114567,-3.784276327
RGS9,-0.430918101,8.98640423,-2.423128061,0.015708959,0.02114567,-3.784935231
C11orf74,0.181554177,9.713956764,2.421492803,0.015779046,0.021179254,-3.788798297
TUBA3D,0.262853706,9.800094434,2.421324675,0.015786267,0.021179254,-3.789195333
FBXO15,-0.182057536,9.351965754,-2.416454328,0.015996732,0.021426086,-3.80068494
C12orf10,0.3362361,10.2837364,2.413687099,0.016117412,0.021552044,-3.807203008
DNAH7,-0.151597323,8.570138179,-2.412505212,0.016169199,0.021585614,-3.809984657
OCRL,0.227182434,9.867084339,2.385385651,0.017398468,0.023188404,-3.873445877
FLCN,0.243753055,9.582311616,2.358685235,0.018688269,0.024866464,-3.935239898
OSCP1,0.186758512,9.631953064,2.330048521,0.020164109,0.026786148,-4.000757736
PIBF1,-0.184761543,9.079579425,-2.321827519,0.020606209,0.027328562,-4.019421625
ULK3,0.213238373,9.646240933,2.308703576,0.021329543,0.028241571,-4.049082483
C8orf37,0.342230875,10.01091224,2.301561808,0.021732406,0.028727968,-4.06515402
DYNC2LI1,-0.156082678,9.233069939,-2.293059731,0.022220649,0.029325457,-4.084223072
IQCB1,0.160125736,9.503058646,2.279146081,0.023040303,0.030357663,-4.115280248
AP3M2,0.325360099,10.36057227,2.277136023,0.023160866,0.030466895,-4.119751642
GNB5,0.259284462,9.814788627,2.259660627,0.024232391,0.031824682,-4.158462738
DNAAF2,-0.123221539,9.287536901,-2.249540548,0.024872413,0.032612289,-4.18074669
CCDC113,0.254973604,9.559148539,2.23788586,0.025627629,0.033548142,-4.206288142
USH1C,-0.318945134,9.16121516,-2.236665911,0.025707819,0.033598749,-4.208954153
RTTN,-0.177221031,9.088721743,-2.228668882,0.026238891,0.034237521,-4.226395082
TCP11,-0.207666675,7.601049815,-2.217608116,0.026989076,0.035159682,-4.250416704
TRAPPC10,-0.231614127,9.139517193,-2.19645197,0.028475796,0.037036847,-4.296036363
MNS1,-0.212290929,8.986745444,-2.194760655,0.028597648,0.037135629,-4.299664856
WDR35,-0.114271538,9.250470904,-2.188068064,0.029084246,0.037706979,-4.313995995
TUBGCP2,0.084744149,9.660657835,2.169721004,0.030455011,0.039420966,-4.35306281
TCHP,0.135823522,9.518575968,2.13931972,0.032848929,0.04245173,-4.417085171
